"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DOM","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",20.4,
"ECU","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",37.5,
"SLV","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",26.3,
"GNQ","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",56.9,
"GAB","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",48.6,
"GTM","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",18,
"JAM","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",19.7,
"JOR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",23.6,
"KEN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",39.4,
"LBN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",10.4,
"LBR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",38.5,
"MWI","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",37.5,
"NAM","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",25,
"NPL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",25,
"NIC","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",22.5,
"RWA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",34.4,
"TJK","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",20.3,
"TLS","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",58.8,
"TUN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",20.3,
"UGA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",49.9,
"ZWE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",35.4,
"KOR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",16.5,
"AFG","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",60.8,
"BEN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",68.6,
"BTN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",26.5,
"BIH","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",13.1,
"BDI","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",46.7,
"CAF","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",29.8,
"FJI","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",64.1,
