"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"UKR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"ARE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"URY","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"VNM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"ZMB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"SRB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"AFG","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"AGO","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"BHR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"BEN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"BTN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"BOL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"BWA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"BFA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"BDI","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"CMR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"CAF","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"TCD","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"COG","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"CRI","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"CIV","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"CUB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"COD","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"DOM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"ECU","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"SLV","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"GNQ","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",1,
"ERI","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"FJI","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"GAB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"GMB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"GTM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"GIN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"GNB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"HND","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"IRQ","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"JAM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"JOR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"KEN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"KWT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"KGZ","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"LAO","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"LBN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"LSO","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"LBR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"LBY","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"MDG","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"MWI","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"MLI","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"MRT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"MUS","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"MNG","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"MAR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"MMR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"NAM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"NPL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"NIC","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"NER","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"PSE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"OMN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"PAN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"PNG","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"QAT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"RWA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"SEN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"SLE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"SOM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"LKA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"SWZ","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"SYR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"TJK","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"TLS","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"TGO","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"TTO","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"TUN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"TKM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"UGA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"UZB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"VEN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"YEM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"ZWE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"BRN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"MLT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"TWN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"MNE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
